Questions,Query
Highlight The Periods For Which Depreciation Is Out Of Confidence Interval During Year 2022,"SELECT YearPeriod, [Amount%], ConfindenceHigh, Confindencelow
FROM
(SELECT YearPeriod,
Amount,
[Amount%],
((AVG([Amount%]) OVER (
order by YearPeriod ROWS BETWEEN 26 PRECEDING AND CURRENT ROW)) + 1.96*(STDEV([Amount%]) OVER (
order by YearPeriod ROWS BETWEEN 26 PRECEDING AND CURRENT ROW)/SQRT(26))) as ""ConfindenceHigh"",
((AVG([Amount%]) OVER (
order by YearPeriod ROWS BETWEEN 26 PRECEDING AND CURRENT ROW)) - 1.96*(STDEV([Amount%]) OVER (
order by YearPeriod ROWS BETWEEN 26 PRECEDING AND CURRENT ROW)/SQRT(26))) as ""Confindencelow""
FROM
(SELECT YearPeriod,
SUM(TradeAmount) AS Amount,
SUM([GSV Amount]) AS GSV,
SUM(TradeAmount)/SUM([GSV Amount]) AS [Amount%]
FROM
(SELECT YearPeriod,
FY,
aggregated_data.id,
CASE
WHEN Level1 = 'R Depreciation' THEN Amount
ELSE 0
END AS TradeAmount,
CASE
WHEN Level1 = 'Total GSV Third Party' THEN Amount
ELSE 0
END AS [GSV Amount],
hierarchy.Level1
FROM [dbo].[aggregated_data]
LEFT JOIN [dbo].[hierarchy] ON aggregated_data.ID = hierarchy.ID) AS subquery
WHERE subquery.Level1 IN ('R Depreciation',
'Total GSV Third Party')
GROUP BY subquery.YearPeriod) AS Subquery2) as Subquery3
WHERE ([Amount%] < Confindencelow
or [Amount%] > ConfindenceHigh)
AND YearPeriod LIKE '2022%'"
Highlight The Periods For Which Depreciation Is Out Of Confidence Interval During Year 2022 and 2023,"SELECT YearPeriod, [Amount%], ConfindenceHigh,Confindencelow
FROM
(SELECT YearPeriod,
Amount,
[Amount%],
((AVG([Amount%]) OVER (
order by YearPeriod ROWS BETWEEN 26 PRECEDING AND CURRENT ROW)) + 1.96*(STDEV([Amount%]) OVER (
order by YearPeriod ROWS BETWEEN 26 PRECEDING AND CURRENT ROW)/SQRT(26))) as ""ConfindenceHigh"",
((AVG([Amount%]) OVER (
order by YearPeriod ROWS BETWEEN 26 PRECEDING AND CURRENT ROW)) - 1.96*(STDEV([Amount%]) OVER (
order by YearPeriod ROWS BETWEEN 26 PRECEDING AND CURRENT ROW)/SQRT(26))) as ""Confindencelow""
FROM
(SELECT YearPeriod,
SUM(RDepAmount) AS Amount,
SUM([GSV Amount]) AS GSV,
SUM(RDepAmount)/SUM([GSV Amount]) AS [Amount%]
FROM
(SELECT YearPeriod,
FY,
aggregated_data.id,
CASE
WHEN Level1 = 'R Depreciation' THEN Amount
ELSE 0
END AS RDepAmount,
CASE
WHEN Level1 = 'Total GSV Third Party' THEN Amount
ELSE 0
END AS [GSV Amount],
hierarchy.Level1
FROM [dbo].[aggregated_data]
LEFT JOIN [dbo].[hierarchy] ON aggregated_data.ID = hierarchy.ID) AS subquery
WHERE subquery.Level1 IN ('R Depreciation',
'Total GSV Third Party')
GROUP BY subquery.YearPeriod) AS Subquery2) as Subquery3
WHERE ([Amount%] < Confindencelow
or [Amount%] > ConfindenceHigh)
AND (YearPeriod LIKE '2022%' or YearPeriod LIKE '2023%')"
What Is My  depreciation As Percentage Of GSV For Period 1 Year 2023?,"SELECT YearPeriod,
SUM(DepreciationAmount) as Depreciation,
SUM(""GSV Amount"") as GSV,
ROUND(Sum(DepreciationAmount)/Sum(""GSV Amount"")*100,2) as ""Depreciation%GSV""
from
(Select YearPeriod,
FY,
aggregated_data.id,
Case
When Level1 = 'R Depreciation' Then Amount
Else 0
END As ""DepreciationAmount"",
Case
When Level1 = 'Total GSV Third Party' Then Amount
Else 0
END As ""GSV Amount"",
hierarchy.Level1
from [dbo].[aggregated_data]
left join [dbo].[hierarchy] on aggregated_data.ID = hierarchy.ID) as subquery
where subquery.Level1 in ('R Depreciation',
'Total GSV Third Party')
and subquery.YearPeriod = 2023001
Group by subquery.YearPeriod"
What Is My  depreciation As Percentage Of GSV For Period 13 Year 2023?,"SELECT YearPeriod,
SUM(DepreciationAmount) as Depreciation,
SUM(""GSV Amount"") as GSV,
ROUND(Sum(DepreciationAmount)/Sum(""GSV Amount"")*100,2) as ""Depreciation%GSV""
from
(Select YearPeriod,
FY,
aggregated_data.id,
Case
When Level1 = 'R Depreciation' Then Amount
Else 0
END As ""DepreciationAmount"",
Case
When Level1 = 'Total GSV Third Party' Then Amount
Else 0
END As ""GSV Amount"",
hierarchy.Level1
from [dbo].[aggregated_data]
left join [dbo].[hierarchy] on aggregated_data.ID = hierarchy.ID) as subquery
where subquery.Level1 in ('R Depreciation',
'Total GSV Third Party')
and subquery.YearPeriod = 2023013
Group by subquery.YearPeriod"
What Is My depreciation For Period 1 Year 2023?,"SELECT YearPeriod,
SUM(DepreciationAmount) as Depreciation,
SUM(""GSV Amount"") as GSV,
Sum(DepreciationAmount)/Sum(""GSV Amount"") as ""Depreciation%GSV""
from
(Select YearPeriod,
FY,
aggregated_data.id,
Case
When Level1 = 'R Depreciation' Then Amount
Else 0
END As ""DepreciationAmount"",
Case
When Level1 = 'Total GSV Third Party' Then Amount
Else 0
END As ""GSV Amount"",
hierarchy.Level1
from [dbo].[aggregated_data]
left join [dbo].[hierarchy] on aggregated_data.ID = hierarchy.ID) as subquery
where subquery.Level1 in ('R Depreciation',
'Total GSV Third Party')
and subquery.YearPeriod = 2023001
Group by subquery.YearPeriod"
What Is My  depreciation For Period 13 Year 2023?,"SELECT YearPeriod,
SUM(DepreciationAmount) as Depreciation,
SUM(""GSV Amount"") as GSV,
Sum(DepreciationAmount)/Sum(""GSV Amount"") as ""Depreciation%GSV""
from
(Select YearPeriod,
FY,
aggregated_data.id,
Case
When Level1 = 'R Depreciation' Then Amount
Else 0
END As ""DepreciationAmount"",
Case
When Level1 = 'Total GSV Third Party' Then Amount
Else 0
END As ""GSV Amount"",
hierarchy.Level1
from [dbo].[aggregated_data]
left join [dbo].[hierarchy] on aggregated_data.ID = hierarchy.ID) as subquery
where subquery.Level1 in ('R Depreciation',
'Total GSV Third Party')
and subquery.YearPeriod = 2023013
Group by subquery.YearPeriod"
Show Me The Trend Of Depreciation As Percentage Of GSV Along With Confidence High And Low For Year 2023?,"SELECT YearPeriod,
Amount AS Depreciation,
ROUND([Amount%],2) AS 'Depreciation%',
ROUND(ConfidenceHigh,2) AS 'ConfidenceHigh',
ROUND(Confidencelow,2) AS 'Confidencelow'
FROM
(SELECT YearPeriod,
Amount,
[Amount%],
((AVG([Amount%]) OVER (
order by YearPeriod ROWS BETWEEN 26 PRECEDING AND CURRENT ROW)) + 1.96*(STDEV([Amount%]) OVER (
order by YearPeriod ROWS BETWEEN 26 PRECEDING AND CURRENT ROW)/SQRT(26))) as ""ConfidenceHigh"",
((AVG([Amount%]) OVER (
order by YearPeriod ROWS BETWEEN 26 PRECEDING AND CURRENT ROW)) - 1.96*(STDEV([Amount%]) OVER (
order by YearPeriod ROWS BETWEEN 26 PRECEDING AND CURRENT ROW)/SQRT(26))) as ""Confidencelow""
FROM
(SELECT YearPeriod,
SUM(DepreciationAmount) AS Amount,
SUM([GSV Amount]) AS GSV,
SUM(DepreciationAmount)/SUM([GSV Amount])*100 AS [Amount%]
FROM
(SELECT YearPeriod,
FY,
aggregated_data.id,
CASE
WHEN Level1 = 'R Depreciation' THEN Amount
ELSE 0
END AS DepreciationAmount,
CASE
WHEN Level1 = 'Total GSV Third Party' THEN Amount
ELSE 0
END AS [GSV Amount],
hierarchy.Level1
FROM [dbo].[aggregated_data]
LEFT JOIN [dbo].[hierarchy] ON aggregated_data.ID = hierarchy.ID) AS subquery
WHERE subquery.Level1 IN ('R Depreciation',
'Total GSV Third Party')
GROUP BY subquery.YearPeriod) AS Subquery2) as Subquery3
WHERE YearPeriod LIKE '2023%'"
Show Me The Trend Of Depreciation Along With Confidence High And Low For Year 2023?,"SELECT YearPeriod,
Amount AS Depreciation,
[Amount%] AS 'Depreciation%',
ConfindenceHigh,
Confindencelow
FROM
(SELECT YearPeriod,
Amount,
[Amount%],
((AVG([Amount%]) OVER (
order by YearPeriod ROWS BETWEEN 26 PRECEDING AND CURRENT ROW)) + 1.96*(STDEV([Amount%]) OVER (
order by YearPeriod ROWS BETWEEN 26 PRECEDING AND CURRENT ROW)/SQRT(26))) as ""ConfindenceHigh"",
((AVG([Amount%]) OVER (
order by YearPeriod ROWS BETWEEN 26 PRECEDING AND CURRENT ROW)) - 1.96*(STDEV([Amount%]) OVER (
order by YearPeriod ROWS BETWEEN 26 PRECEDING AND CURRENT ROW)/SQRT(26))) as ""Confindencelow""
FROM
(SELECT YearPeriod,
SUM(DepreciationAmount) AS Amount,
SUM([GSV Amount]) AS GSV,
SUM(DepreciationAmount)/SUM([GSV Amount]) AS [Amount%]
FROM
(SELECT YearPeriod,
FY,
aggregated_data.id,
CASE
WHEN Level1 = 'R Depreciation' THEN Amount
ELSE 0
END AS DepreciationAmount,
CASE
WHEN Level1 = 'Total GSV Third Party' THEN Amount
ELSE 0
END AS [GSV Amount],
hierarchy.Level1
FROM [dbo].[aggregated_data]
LEFT JOIN [dbo].[hierarchy] ON aggregated_data.ID = hierarchy.ID) AS subquery
WHERE subquery.Level1 IN ('R Depreciation',
'Total GSV Third Party')
GROUP BY subquery.YearPeriod) AS Subquery2) as Subquery3
WHERE YearPeriod LIKE '2023%'"
Compare The Depreciation For YearPeriod 2023001 With Same Period Last Year,"SELECT current_period.YearPeriod AS CurrentYearPeriod,
current_period.DepreciationAmount AS CurrentDepreciation,
previous_period.YearPeriod AS PreviousYearPeriod,
previous_period.DepreciationAmount AS PreviousDepreciation,
current_period.DepreciationAmount - previous_period.DepreciationAmount AS Depreciation_Difference,
(current_period.DepreciationAmount - previous_period.DepreciationAmount)*100/previous_period.DepreciationAmount AS 'Depreciation_Difference%'
FROM
(SELECT YearPeriod,
SUM(Amount) AS DepreciationAmount
FROM [dbo].[aggregated_data] AS ad
JOIN [dbo].[hierarchy] AS h ON ad.ID = h.ID
WHERE h.Level1 = 'R Depreciation'
AND YearPeriod = 2023001
GROUP BY YearPeriod) AS current_period
JOIN
(SELECT YearPeriod,
SUM(Amount) AS DepreciationAmount
FROM [dbo].[aggregated_data] AS ad
JOIN [dbo].[hierarchy] AS h ON ad.ID = h.ID
WHERE h.Level1 = 'R Depreciation'
AND YearPeriod = 2022001
GROUP BY YearPeriod) AS previous_period ON current_period.YearPeriod = 2023001
AND previous_period.YearPeriod = 2022001;"
Compare The Depreciation For YearPeriod 2023001 With previous Period,"SELECT current_period.YearPeriod AS CurrentYearPeriod,
current_period.DepreciationAmount AS CurrentDepreciation,
previous_period.YearPeriod AS PreviousYearPeriod,
previous_period.DepreciationAmount AS PreviousDepreciation,
current_period.DepreciationAmount - previous_period.DepreciationAmount AS Depreciation_Difference,
(current_period.DepreciationAmount - previous_period.DepreciationAmount)*100/previous_period.DepreciationAmount AS 'Depreciation_Difference%'
FROM
(SELECT YearPeriod,
SUM(Amount) AS DepreciationAmount
FROM [dbo].[aggregated_data] AS ad
JOIN [dbo].[hierarchy] AS h ON ad.ID = h.ID
WHERE h.Level1 = 'R Depreciation'
AND YearPeriod = 2023001
GROUP BY YearPeriod) AS current_period
JOIN
(SELECT YearPeriod,
SUM(Amount) AS DepreciationAmount
FROM [dbo].[aggregated_data] AS ad
JOIN [dbo].[hierarchy] AS h ON ad.ID = h.ID
WHERE h.Level1 = 'R Depreciation'
AND YearPeriod = 2022013
GROUP BY YearPeriod) AS previous_period ON current_period.YearPeriod = 2023001
AND previous_period.YearPeriod = 2022013;"
